"Group","State","Repo Name","Issue Number","Issue Title","Pipeline","Story Points","Milestone","Labels"
"Remaining","open","SOEN390-team11","3","Create/Edit/Track Material Lists","Sprint Backlog","3","Sprint 2","user story"
"Remaining","open","SOEN390-team11","31","3.4: FRONTEND: Ordering the material List.","Sprint Backlog","1","Sprint 2","task"
"Completed","closed","SOEN390-team11","2"," Define Product","Closed","2","Sprint 2","user story"
"Completed","closed","SOEN390-team11","4","Tracking Inventory ","Closed","8","Sprint 2","user story"
"Completed","closed","SOEN390-team11","21","4.5 Setup Preconfigured Parts","Closed","1","Sprint 2","task"
"Completed","closed","SOEN390-team11","22","4.6 Create support for Vendors","Closed","3","Sprint 2","task"
"Completed","closed","SOEN390-team11","26","Product crud","Closed","0","Sprint 2","user story"
"Completed","closed","SOEN390-team11","27","Product crud","Closed","1","Sprint 2","user story"
"Completed","closed","SOEN390-team11","28","#3.1: BACKEND: Create the Material List","Closed","2","Sprint 2","task"
"Completed","closed","SOEN390-team11","29","#3.2: BACKEND: Editing the Material List","Closed","2","Sprint 2","task"
"Completed","closed","SOEN390-team11","30","#3.3: BACKEND: Tracking material List","Closed","3","Sprint 2","task"
"Completed","closed","SOEN390-team11","32","3.5: Tracking RAW materials","Closed","1","Sprint 2","task"
"Completed","closed","SOEN390-team11","33","4.1 Define Product Inventory","Closed","1","Sprint 2","task"
"Completed","closed","SOEN390-team11","34","4.2 Define Parts Inventory","Closed","1","Sprint 2","task"
"Completed","closed","SOEN390-team11","35","4.3 Forecasting Parts and Products","Closed","3","Sprint 2","task"
"Completed","closed","SOEN390-team11","36","4.4 Progression Cycle for Orders","Closed","3","Sprint 2","task"
"Completed","closed","SOEN390-team11","37","Add product inventory","Closed","1","Sprint 2",""
"Completed","closed","SOEN390-team11","39","Added idle timer","Closed","1","Sprint 2",""
"Completed","closed","SOEN390-team11","42","product front_end(add, edit, delete, create)","Closed","1","Sprint 2",""
"Completed","closed","SOEN390-team11","43","Fix the missing dependency","Closed","1","Sprint 2",""
"Completed","closed","SOEN390-team11","44","Test controller","Closed","1","Sprint 2",""
"Completed","closed","SOEN390-team11","46","Part inventory and Material inventory","Closed","2","Sprint 2",""
"Completed","closed","SOEN390-team11","47","setup preconfigured parts","Closed","1","Sprint 2",""
"Completed","closed","SOEN390-team11","48","Part materials controller test","Closed","1","",""
"Completed","closed","SOEN390-team11","49","Scheduling","Closed","3","",""
"Completed","closed","SOEN390-team11","50","Be changes","Closed","3","",""
"Completed","closed","SOEN390-team11","51","Ci testing","Closed","2","Sprint 2",""